netflix_id,imdb_id,year,title
1905.0,tt0325980,2003,Pirates of the Caribbean: The Curse of the Black Pearl
2152.0,tt0207201,2000,What Women Want
3860.0,tt0315327,2003,Bruce Almighty
4432.0,tt0317740,2003,The Italian Job
571.0,tt0169547,1999,American Beauty
3938.0,tt0298148,2004,Shrek 2
4306.0,tt0167404,1999,The Sixth Sense
1962.0,tt0343660,2004,50 First Dates
1145.0,tt0209475,2001,The Wedding Planner
3624.0,tt0325710,2003,The Last Samurai
2372.0,tt0372183,2004,The Bourne Supremacy
3427.0,tt0120912,2002,Men in Black II
2782.0,tt0112573,1995,Braveheart
3106.0,tt0099653,1990,Ghost
1220.0,tt0328107,2004,Man on Fire
2862.0,tt0102926,1991,The Silence of the Lambs
4123.0,tt0129290,1998,Patch Adams
1307.0,tt0257076,2003,S.W.A.T.
30.0,tt0337741,2003,Something's Gotta Give
3282.0,tt0375063,2004,Sideways
457.0,tt0378194,2004,Kill Bill: Vol. 2
3151.0,tt0374900,2004,Napoleon Dynamite
1542.0,tt0108160,1993,Sleepless in Seattle
1428.0,tt0292506,2003,The Recruit
1798.0,tt0093409,1987,Lethal Weapon
1865.0,tt0338013,2004,Eternal Sunshine of the Spotless Mind
1180.0,tt0268978,2001,A Beautiful Mind
886.0,tt0350258,2004,Ray
2913.0,tt0308644,2004,Finding Neverland
4356.0,tt0257044,2002,Road to Perdition
2122.0,tt0120601,1999,Being John Malkovich
3825.0,tt0164184,2002,The Sum of All Fears
758.0,tt0377092,2004,Mean Girls
2391.0,tt0343135,2004,Along Came Polly
4472.0,tt0314331,2003,Love Actually
607.0,tt0111257,1994,Speed
313.0,tt0223897,2000,Pay It Forward
191.0,tt0594963,2003,X2: X-Men United
1110.0,tt0327137,2003,Secondhand Lions
1470.0,tt0286499,2002,Bend It Like Beckham
3917.0,tt0333766,2004,Garden State
3756.0,tt0257360,2002,About Schmidt
4043.0,tt0286106,2002,Signs
175.0,tt0105236,1992,Reservoir Dogs
4345.0,tt0310793,2002,Bowling for Columbine
483.0,tt0266915,2001,Rush Hour 2
985.0,tt0120616,1999,The Mummy
2342.0,tt0390521,2004,Super Size Me
3333.0,tt0368447,2004,The Village
2112.0,tt0309698,2003,Identity
2095.0,tt0119528,1997,Liar Liar
2612.0,tt0260866,2001,Don't Say a Word
4266.0,tt0335345,2004,The Passion of the Christ
2874.0,tt0319343,2003,Elf
3638.0,tt0172156,2003,Bad Boys II
798.0,tt0073195,1975,Jaws
197.0,tt0364045,2004,Taking Lives
2580.0,tt0322330,2003,Freaky Friday
1144.0,tt0101921,1991,Fried Green Tomatoes
2200.0,tt0233469,2002,Collateral Damage
1202.0,tt0085995,1983,National Lampoon's Vacation
3368.0,tt0218967,2000,The Family Man
357.0,tt0315983,2003,House of Sand and Fog
299.0,tt0243155,2001,Bridget Jones's Diary
3610.0,tt0104714,1992,Lethal Weapon 3
1406.0,tt0102057,1991,Hook
3320.0,tt0276751,2002,About a Boy
1102.0,tt0139654,2001,Training Day
